ITEM_ID,SIM_SCORE,HOT_LEVEL,CATEGORY,P_ID
"item01","3","3","0","3934"
"item02","4","4","1","3935"
"item03","5","5","2","3936"
"item04","6","6","3","3937"
"item05","7","7","4","3938"
"item06","8","8","0","3939"
"item07","9","9","1","3940"
"item08","1","10","2","3941"
"item09","2","2","3","3942"
"item10","3","3","4","3943"
"item11","4","4","0","3944"
"item12","5","5","1","3945"
"item13","6","6","2","3946"
"item14","7","7","3","3947"
"item15","8","8","4","3948"
"item16","9","9","0","3949"
"item17","1","10","1","3950"
"item18","2","2","2","3951"
"item19","3","3","3","3952"
"item20","4","4","4","3953"
"item21","5","5","0","3954"
"item22","6","6","1","3955"
"item23","7","7","2","3956"
"item24","8","8","3","3957"
"item25","9","9","4","3958"
"item26","1","10","0","3959"
"item27","2","2","1","3960"
"item28","3","3","2","3961"
"item29","4","4","3","3962"
"item30","5","5","4","3963"
"item31","6","6","0","3964"
"item32","7","7","1","3965"
"item33","8","8","2","3966"
"item34","9","9","3","3967"
"item35","1","10","4","3968"
"item36","2","2","0","3969"
"item37","3","3","1","3970"
"item38","4","4","2","3971"
"item39","5","5","3","3972"
"item40","6","6","4","3973"
"item41","7","7","0","3974"
"item42","8","8","1","3975"
"item43","9","9","2","3976"
"item44","1","10","3","3977"
"item45","2","2","4","3978"
"item46","3","3","0","3979"
"item47","4","4","1","3980"
"item48","5","5","2","3981"
"item49","6","6","3","3982"
"item50","7","7","4","3983"
"item51","8","8","0","3984"
"item52","9","9","1","3985"
"item53","1","10","2","3986"
"item54","2","2","3","3987"
"item55","3","3","4","3988"
"item56","4","4","0","3989"
"item57","5","5","1","3990"
"item58","6","6","2","3991"
"item59","7","7","3","3992"
"item60","8","8","4","3993"
"item61","9","9","0","3994"
"item62","1","10","1","3995"
"item63","2","2","2","3996"
"item64","3","3","3","3997"
"item65","4","4","4","3998"
"item66","5","5","0","3999"
"item67","6","6","1","4000"
"item68","7","7","2","4001"
"item69","8","8","3","4002"
"item70","9","9","4","4003"
"item71","1","10","0","4004"
"item72","2","2","1","4005"
"item73","3","3","2","4006"
"item74","4","4","3","4007"
"item75","5","5","4","4008"
"item76","6","6","0","4009"
"item77","7","7","1","4010"
"item78","8","8","2","4011"
"item79","9","9","3","4012"
"item80","1","10","4","4013"
"item81","2","2","0","4014"
"item82","3","3","1","4015"
"item83","4","4","2","4016"
"item84","5","5","3","4017"
"item85","6","6","4","4018"
"item86","7","7","0","4019"
"item87","8","8","1","4020"
"item88","9","9","2","4021"
"item89","1","10","3","4022"
"item90","2","2","4","4023"
"item91","3","3","0","4024"
"item92","4","4","1","4025"
"item93","5","5","2","4026"
"item94","6","6","3","4027"
"item95","7","7","4","4028"
"item96","8","8","0","4029"
"item97","9","9","1","4030"
"item98","1","10","2","4031"
"item99","2","2","3","4032"
"item100","3","3","4","4033"
"item101","4","4","0","4034"
"item102","5","5","1","4035"
"item103","6","6","2","4036"
"item104","7","7","3","4037"
"item105","8","8","4","4038"
"item106","9","9","0","4039"
"item107","1","10","1","4040"
"item108","2","2","2","4041"
"item109","3","3","3","4042"
"item110","4","4","4","4043"
"item111","5","5","0","4044"
"item112","6","6","1","4045"
"item113","7","7","2","4046"
"item114","8","8","3","4047"
"item115","9","9","4","4048"
"item116","1","10","0","4049"
"item117","2","2","1","4050"
"item118","3","3","2","4051"
"item119","4","4","3","4052"
"item120","5","5","4","4053"
"item121","6","6","0","4054"
"item122","7","7","1","4055"
"item123","8","8","2","4056"
"item124","9","9","3","4057"
"item125","1","10","4","4058"
"item126","2","2","0","4059"
"item127","3","3","1","4060"
"item128","4","4","2","4061"
"item129","5","5","3","4062"
"item130","6","6","4","4063"
"item131","7","7","0","4064"
"item132","8","8","1","4065"
"item133","9","9","2","4066"
"item134","1","10","3","4067"
"item135","2","2","4","4068"
"item136","3","3","0","4069"
"item137","4","4","1","4070"
"item138","5","5","2","4071"
"item139","6","6","3","4072"
"item140","7","7","4","4073"
"item141","8","8","0","4074"
"item142","9","9","1","4075"
"item143","1","10","2","4076"
"item144","2","2","3","4077"
"item145","3","3","4","4078"
"item146","4","4","0","4079"
"item147","5","5","1","4080"
"item148","6","6","2","4081"
"item149","7","7","3","4082"
"item150","8","8","4","4083"
"item151","9","9","0","4084"
"item152","1","10","1","4085"
"item153","2","2","2","4086"
"item154","3","3","3","4087"
"item155","4","4","4","4088"
"item156","5","5","0","4089"
"item157","6","6","1","4090"
"item158","7","7","2","4091"
"item159","8","8","3","4092"
"item160","9","9","4","4093"
"item161","1","10","0","4094"
"item162","2","2","1","4095"
"item163","3","3","2","4096"
"item164","4","4","3","4097"
"item165","5","5","4","4098"
"item166","6","6","0","4099"
"item167","7","7","1","4100"
"item168","8","8","2","4101"
"item169","9","9","3","4102"
