"","ERR","IP","REF","SID","UID","LOC","TM","URL","DUR","BT","BL","LT","VID","CDNID","NETNAME"
"1","100000","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 04:59:042","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348490-102-008-2335.mp4",120,5412850,5412850,59526,"vNsPlayer_nsvp1.0.18","#","#"
"2","305000","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 04:59:042","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348490-102-008-2335.mp4",120,5412850,5412850,59526,"vNsPlayer_nsvp1.0.18","#","#"
"3","306004","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 04:59:042","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348490-102-008-2335.mp4",72,5412850,5412850,59526,"vNsPlayer_nsvp1.0.18","#","#"
"4","307000","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 04:59:042","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348490-102-008-2335.mp4",72,5412850,5412850,59526,"vNsPlayer_nsvp1.0.18","#","#"
"5","401000","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 04:59:045","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,733130,74630,"vNsPlayer_nsvp1.0.18","#","#"
"6","404002","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 04:59:045","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,733130,74647,"vNsPlayer_nsvp1.0.18","#","#"
"7","304001","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 05:00:001","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,1018354,90916,"vNsPlayer_nsvp1.0.18","#","#"
"8","303000","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 05:00:012","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,1145318,102226,"vNsPlayer_nsvp1.0.18","#","#"
"9","309001011","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 05:00:012","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,1145318,102231,"vNsPlayer_nsvp1.0.18","#","#"
"10","304002","84.143.123.30","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fcyw%2Findex.shtml%3F_v_rec1%23013272d5-5c18-4532-833a-726eda4588e2","#","1389310868304_kigodm1285","ips.ifeng.com","2015-05-31 05:00:015","http%3A%2F%2Fips.ifeng.com%2Fvideo19.ifeng.com%2Fvideo09%2F2015%2F05%2F29%2F3348486-102-008-2334.mp4",120,9034455,1155318,104666,"vNsPlayer_nsvp1.0.18","#","#"
