,Name,Code,Before,Num,Zip,Contact,Address
1,北京轩元生物科技有限公司,59241781,北京市昌平区科技园区超前路37号6号楼4层1232号,1001,102200,$文秀永$15911054135$$,北京北京朝阳双井九龙花园2-C1508
2,北京中鑫汇科软件技术有限公司,783953480,北京市北京经济技术开发区地盛西路1号1幢B区2层B1-207室,1003,100176,$郁景华$13581639569$87128829$,北京经济技术开发区地盛西路1号数码庄园a座
3,北京迅流世纪科技发展有限公司,767537735,北京市朝阳区北四环中路６号峻峰华亭住宅楼Ｄ座５１８室,1004,100029,$侯树明$$58772581$,北京市朝阳区北四环中路６号峻峰华亭住宅楼Ｄ座５１８室
4,北京新天新网科技有限公司,780986826,北京市海淀区中关村东路１２３号１号楼１６０８室,1005,100086,$周碧瑜$$68325129$,北京市海淀区中关村东路１２３号１号楼１６０８室
5,北京复高科技有限公司,784814183,北京市海淀区上地东路5-1号218-11号,1007,100083,$薛拴柱$13683231507$66322337$,海淀南路19号时代网络大厦5026
6,北京天洋精电光伏科技有限公司,78522028,北京市昌平区科技园区火炬街甲１２号２层Ａ２３１４室,1008,102200,$李景升$13701307156$82428096$,北京市 昌平区 定福皇庄宾宾集团1号楼
7,北京九玄科技有限责任公司,306312568,北京市昌平区科技园区振兴路２８号２号楼１０２、１１３房间（昌平示范区）,1010,102200,$高漫华$15201697899$$,北京市昌平区科技园区振兴路２８号２号楼１０２、１１３房间（昌平示范区）
8,国澔（北京）新能源科技发展有限公司,317973740,北京市昌平区科技园区火炬街１０号２幢１０５室,1012,102200,$吕伟$13911056408$$,北京市昌平区科技园区火炬街１０号２幢１０５室
9,北京百年兴业卫星通信科技有限公司,102324823,北京市海淀区上地十街1号院3号楼9层913,1013,100025,$苏东$$82643338$,北京市海淀区学清路１６号学知轩８１２室
10,北京华东森博科贸有限责任公司,666260351,北京市朝阳区利泽中园１０６号楼（望京集中办公区026室）,1014,100102,$王钰洲$$87698021$,北京朝阳区龙爪树南里69号
11,天泰雷兹科技（北京）有限公司,754150929,北京市海淀区中关村南大街31号神舟科技大厦13层1303号,1015,100080,$胡长安$18901103338$82886969$,北京·海淀区北四环西路67号大地科技大厦510室
