"","UID","REF","Total"
"1","1009884688120_pw56b71997","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fwrsne2329%2Findex.shtml%3F_v_www4%23014d41c6-1b2d-4a36-a8d7-fdb773a9961a",36
"2","1136071027171_3vkee7806","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",2
"3","1136071027171_3vkee7806","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_www4%2301737104-03b9-4520-b902-478945697045",11
"4","1332211819781_136","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzsjyl%2Findex.shtml%3F_v_www4%2301a62b56-cdb2-4516-af2e-1e1ccc5476fb",10
"5","1347432686405_he5wsy7858","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%2301737104-03b9-4520-b902-478945697045",10
"6","1352182366046_cou0nj4675","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzgsmzj%2Findex.shtml%3F_v_www4%23012dca6c-9b83-4d74-a1a7-af060350a936",6
"7","1354692183821_9ocuo08665","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",9
"8","1361650075453_pm08yx7025","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_www4%2301737104-03b9-4520-b902-478945697045",15
"9","1361753388437_ms7ugv5976","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",5
"10","1363580381609_d9sget8495","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",10
"11","1369700366531_262y6l4365","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_rec2%2301737104-03b9-4520-b902-478945697045",8
"12","1374323730489_r8btxm8711","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fhxmbaby%2Findex.shtml",19
"13","1387871667005_kgfpud8924","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%2301737104-03b9-4520-b902-478945697045",8
"14","1389332375626_gn7zhy9620","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",72
"15","1399627343080_r0dlb93305","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml",4
"16","1399816073285_r5sy4y6351","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzgsmzj%2Findex.shtml%3F_v_www4%23012dca6c-9b83-4d74-a1a7-af060350a936",22
"17","1401627006833_a3evsa302","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",8
"18","1401969073552_bx91fp6957","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzghjzx%2Findex.shtml%3F_v_www4%230192f0f7-64d0-49e2-a8b0-8ed57f6b77ce",11
"19","1403517132726_i1sch54612","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzgsmzj%2Findex.shtml%3F_v_rec2%23012dca6c-9b83-4d74-a1a7-af060350a936",5
"20","1404179268045_dybw3b7077","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fsbnlq%2Findex.shtml%3F_v_www4%2301f8739a-7031-44ff-b938-9c0258987e16",98
"21","1405483928088_vjp6w12426","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",18
"22","1407803744354_cmouxk3267","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",27
"23","1408372883390_6wwk7i787","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Frbpfl0132%2Findex.shtml%3F_v_www4%23013bbd39-782e-4468-82d3-84a76ef527fa",1
"24","1409035798383_82gmj94717","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmyjwj2052%2Findex.shtml%3F_v_www4%23016c23d6-603f-4df6-963a-a7b5d0001716",16
"25","1410443472614_i1wi5165","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_www4%2301737104-03b9-4520-b902-478945697045",13
"26","1410519353875_ppsyyr2214","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Fwwxjk%2Findex.shtml%3F_v_www4%23017191c1-5bc7-4052-ab13-f0fb15c04841",15
"27","1410968001562_eolntj6228","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzghjzx%2Findex.shtml%3F_v_www4%230192f0f7-64d0-49e2-a8b0-8ed57f6b77ce",20
"28","1411461390734_qukmiq7598","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",10
"29","1412349932824_dyasyf6550","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fmgxsjdz%2Findex.shtml%23013b094e-909f-48dc-a85d-f36642070587",111
"30","1412586892804_uer94k9520","http%3A%2F%2Fv.ifeng.com%2Fv%2Fent%2Frwzbs%2Findex.shtml%3F_v_www4%2301fa280b-d302-400b-af19-d14146e763ee",8
"31","1412702985062_qduhcl3694","http%3A%2F%2Fv.ifeng.com%2Fv%2Fnews%2Fzmljd%2Findex.shtml%3F_v_www4%2301737104-03b9-4520-b902-478945697045",15
"32","1413621705841_6hrmx06066","http%3A%2F%2Fv.ifeng.com%2Fv%2Fmil%2Fzgsmzj%2Findex.shtml%3F_v_rec2%23012dca6c-9b83-4d74-a1a7-af060350a936",85
