"","Err","Total","CT","ORIGIN"
"1","303000",1210521,"2015-06-03",0
"2","303000",1206314,"2015-05-24",0
"3","303000",1173747,"2015-05-30",0
"4","303000",1151690,"2015-06-02",0
"5","208000",1131443,"2015-06-03",0
"6","303000",1110614,"2015-06-01",0
"7","303000",1071716,"2015-05-28",0
"8","208000",1061947,"2015-06-02",0
"9","208000",1029273,"2015-05-24",0
"10","208000",1024777,"2015-06-01",0
"11","208000",955910,"2015-05-30",0
"12","208000",947966,"2015-05-28",0
"13","303000",937130,"2015-05-29",0
"14","303000",930968,"2015-05-27",0
"15","303000",918935,"2015-05-31",0
"16","303000",913192,"2015-05-21",0
"17","303000",885295,"2015-05-23",0
"18","208000",857890,"2015-05-21",0
"19","208000",824046,"2015-05-29",0
"20","208000",808297,"2015-05-31",0
"21","208000",784253,"2015-05-23",0
"22","208000",766940,"2015-05-27",0
"23","303000",596941,"2015-05-22",0
"24","208000",520233,"2015-05-22",0
"25","208000",350188,"2015-05-24",1
"26","208000",334555,"2015-05-30",1
"27","208000",246012,"2015-05-27",1
"28","208000",220552,"2015-05-23",1
"29","208000",218891,"2015-05-28",1
"30","208000",218648,"2015-06-02",1
"31","208000",215694,"2015-06-03",1
"32","208000",210310,"2015-05-21",1
"33","208000",202175,"2015-05-29",1
"34","208000",198129,"2015-05-31",1
"35","208000",184074,"2015-06-01",1
"36","208000",153892,"2015-05-22",1
"37","303000",135997,"2015-05-24",1
"38","303000",119120,"2015-05-21",1
"39","303000",95879,"2015-06-03",1
"40","303000",87983,"2015-05-23",1
"41","303000",87114,"2015-06-02",1
"42","303000",72416,"2015-05-30",1
"43","303000",66212,"2015-06-01",1
"44","303000",65946,"2015-05-28",1
"45","303000",61538,"2015-05-22",1
"46","303000",59614,"2015-05-31",1
"47","303000",58050,"2015-05-29",1
"48","303000",54027,"2015-05-27",1
